Id	Code	PD code	Accepted name	Genus
215	PHILAT	Phillyrea_latifolia	Phillyrea latifolia L.	Phillyrea
220	PHO	Phoenix	Phoenix spp.	Phoenix
219	PHOCAN	Phoenix_canariensis	Phoenix canariensis hort. ex Chabaud	Phoenix
222	PIC	Picea	Picea spp.	Picea
223	PICABI	Picea_abies	Picea abies (L.) H.Karst.	Picea
221	PICEXC	Picconia_excelsa	Picconia excelsa (Aiton) DC.	Picconia
454	PICEXCE	Picea_abies_abies	Picea abiesÊ(L.) H.Karst. subsp.Êabies	Picea
227	PICOMO	Picea_omorika	Picea omorika (Panc$Kic$A) Purk.	Picea
228	PICPUN	Picea_pungens	Picea pungens Engelm.	Picea
229	PICSIT	Picea_sitchensis	Picea sitchensisÊ(Bong.) Carrière	Picea
230	PIN	Pinus	Pinus spp.	Pinus
490	PINBRU	Pinus_halepensis_brutia	Pinus halepensisÊMill. subsp.ÊbrutiaÊ(Ten.) Holmboe	Pinus
231	PINCAN	Pinus_canariensis	Pinus canariensis Sweet ex Spreng.	Pinus
232	PINCEM	Pinus_cembra	Pinus cembra L.	Pinus
233	PINCON	Pinus_contorta	Pinus contortaÊDouglas ex Loudon	Pinus
234	PINHAL	Pinus_halepensis	Pinus halepensisÊMill.	Pinus
455	PINLAR	Pinus_nigra_laricio	Pinus nigraÊJ.F.Arnold subsp.ÊlaricioÊ(Poir.) Maire	Pinus
235	PINMUG	Pinus_mugo	Pinus mugo Turra	Pinus
236	PINNIG	Pinus_nigra	Pinus nigraÊJ.F.Arnold	Pinus
456	PINNIGR	Pinus_nigra_nigra	Pinus nigraÊJ.F.Arnold subsp.Ênigra	Pinus
237	PINPEU	Pinus_peuce	Pinus peuceÊGriseb.	Pinus
239	PINPIN	Pinus_pinea	Pinus pineaÊL.	Pinus
238	PINPINA	Pinus_pinaster	Pinus pinasterÊAiton	Pinus
240	PINPON	Pinus_ponderosa	Pinus ponderosaÊDouglas ex P.Lawson & C.Lawson	Pinus
241	PINRAD	Pinus_radiata	Pinus radiataÊD.Don	Pinus
242	PINSTR	Pinus_strobus	Pinus strobus L.	Pinus
243	PINSYL	Pinus_sylvestris	Pinus sylvestrisÊL.	Pinus
520	PINTAE	Pinus_taeda	Pinus taeda L.	Pinus
244	PINUNC	Pinus_uncinata	Pinus uncinataÊMill. ex Mirb.	Pinus
245	PISATL	Pistacia_atlantica	Pistacia atlantica Desf.	Pistacia
246	PISLEN	Pistacia_lentiscus	Pistacia lentiscus L.	Pistacia
247	PISTER	Pistacia_terebinthus	Pistacia terebinthus L.	Pistacia
457	PLAACE	Platanus_acerifolia	Platanus acerifoliaÊ(Aiton) Willd.	Platanus
248	PLAHIS	Platanus_hispanica	Platanus hispanica Ten.	Platanus
505	PLAOCC	Platanus_occidentalis	Platanus occidentalis L.	Platanus
251	POP	Populus	Populus spp.	Populus
252	POPALB	Populus_alba	Populus albaÊL.	Populus
382	POPBAL	Populus_balsamifera_trichocarpa	Populus balsamifera subsp. trichocarpa (Torr. & Gray ex Hook.) Brayshaw	Populus
458	POPCAN	Populus_canescens	Populus canescensÊ(Aiton) Sm.	Populus
253	POPNIG	Populus_nigra	Populus nigraÊL.	Populus
